id,text,created_at,user_id,followers_count,friends_count,favourites_count,retweet_count,grammartext,clean_text,user_neg_mean,user_neu_mean,user_pos_mean,user_comp_mean,user_arts_&_culture_mean,user_business_&_entrepreneurs_mean,user_celebrity_&_pop_culture_mean,user_diaries_&_daily_life_mean,user_family_mean,user_fashion_&_style_mean,user_film_tv_&_video_mean,user_fitness_&_health_mean,user_food_&_dining_mean,user_gaming_mean,user_learning_&_educational_mean,user_music_mean,user_news_&_social_concern_mean,user_other_hobbies_mean,user_relationships_mean,user_science_&_technology_mean,user_sports_mean,user_travel_&_adventure_mean,user_youth_&_student_life_mean,user_hateful_mean,user_targeted_mean,user_aggressive_mean,user_joy_mean,user_sadness_mean,user_others_mean,user_anger_mean,user_surprise_mean,user_disgust_mean,user_fear_mean,user_Kincaid_mean,user_ARI_mean,user_Coleman-Liau_mean,user_FleschReadingEase_mean,user_GunningFogIndex_mean,user_LIX_mean,user_SMOGIndex_mean,user_RIX_mean,user_DaleChallIndex_mean,user_characters_per_word_mean,user_syll_per_word_mean,user_words_per_sentence_mean,user_sentences_per_paragraph_mean,user_type_token_ratio_mean,user_characters_mean,user_syllables_mean,user_words_mean,user_wordtypes_mean,user_sentences_mean,user_paragraphs_mean,user_long_words_mean,user_complex_words_mean,user_complex_words_dc_mean,user_sentiment_mode,user_topic_mode
1556634649501188096,Me perdí el live de jisoo y lisa.,2022-08-08 13:33:15+00:00,1409969655888809985,174,258,4864,0,Me perd el live de jisoo y lisa,me perd el live de jisoo y lisa,0.0,1.0,0.0,0.0,0.044219572097063065,0.002413025591522455,0.7487598061561584,0.07603604346513748,0.005354146473109722,0.008138061501085758,0.10775637626647949,0.0032587226014584303,0.0021977161522954702,0.001584129175171256,0.002426556311547756,0.9572847485542297,0.02567105181515217,0.021787792444229126,0.017259981483221054,0.0024739783257246017,0.002295195823535323,0.004246471915394068,0.001903858152218163,0.011893437707205985,0.006714446300300617,0.0005028005858138413,0.015432925894856453,0.0016953592421486974,0.9739140272140503,0.0019870742689818144,0.0025764235761016607,0.00291113811545074,0.0014830820728093386,-0.6699999999999982,-3.3000000000000007,-1.8596609999999991,114.11500000000001,3.2,8.0,3.0,0.0,15.875800000000002,3.0,1.0,8.0,1.0,1.0,24.0,8.0,8.0,8.0,1.0,1.0,0.0,0.0,6.0,neutral,11.0
1556634649589616640,"RT @LiliesHome_: Cute LISA, Smiling LALISA 💕

Please your owned words on your replies

SIX YEARS WITH LISA

#WhatsYourK 
#WhatsYourK_MySong…",2022-08-08 13:33:15+00:00,1259515433104760832,172,208,69944,490,Cute LISA Smiling LALISA Please your owned words on your replies SIX YEARS WITH LISA WhatsYourK WhatsYourK MySong,cute lisa smiling lalisa please your owned words on your replies six years with lisa whatsyourk whatsyourk mysong,0.0,0.644,0.356,0.8074,0.026987146586179733,0.01333035808056593,0.9465672969818115,0.18188537657260895,0.04557136446237564,0.029642928391695023,0.045340970158576965,0.00983474962413311,0.002642369130626321,0.004252880346029997,0.0057141478173434734,0.216838076710701,0.04351578280329704,0.05011260136961937,0.4035243093967438,0.004503342788666487,0.013682358898222446,0.005896765273064375,0.00573122501373291,0.012480355796744797,0.011666171548548002,0.00012707452464846662,0.12280340492725372,0.0009281962411478162,0.8667626976966858,0.002429600339382887,0.0035284878686070442,0.0019444124773144722,0.0016031645936891437,9.785555555555558,12.689999999999998,13.914663555555556,56.96500000000002,9.422222222222222,40.22222222222222,8.477225575051662,4.0,14.178744444444446,5.333333333333333,1.5555555555555556,18.0,1.0,0.8333333333333334,96.0,28.0,18.0,15.0,1.0,1.0,4.0,1.0,11.0,positive,2.0
1556634649996427265,"RT @LiSA_OLiVE: 【カバヤピュアラルグミCM&amp;「#シフクノトキ」MV公開】
がんばった私たち、がんばれなかった私たち、いつもありがとう。今日もお疲れ様☻
https://t.co/2zDomdd9iW
https://t.co/YN3iEhPjpn",2022-08-08 13:33:16+00:00,861889837846020096,3464,3255,216230,121,CM amp MV,cm amp mv,0.0,1.0,0.0,0.0,0.028900528326630592,0.004804503638297319,0.1786070168018341,0.02738107740879059,0.0021871335338801146,0.0030256479512900114,0.5729513168334961,0.0012976267607882619,0.0014523869613185525,0.002533626276999712,0.0016371157253161073,0.7786098122596741,0.012620830908417702,0.014779817312955856,0.0034923506900668144,0.004175418056547642,0.0023880782537162304,0.0018225670792162418,0.0008445312851108611,0.014713795387526724,0.00997885439324643,0.00010404535126408779,0.016393695026636124,0.011393151246011257,0.9264673590660095,0.011015631258487701,0.006791045423597097,0.01870829053223133,0.00923085119575262,-10.486666666666666,-8.94,-11.943578333333331,175.59000000000003,1.2000000000000002,3.0,3.0,0.0,19.5753,2.3333333333333335,0.3333333333333333,3.0,1.0,1.0,7.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,neutral,11.0
1556634650088448000,RT @blackpinkbabo: lisa said she had pictures for their 6th anniversary but couldn’t upload them because she wanted to hide her hair lol ji…,2022-08-08 13:33:16+00:00,1205108580,1227,5006,367476,2754,lisa said she had pictures for their 6th anniversary but couldn t upload them because she wanted to hide her hair lol ji,lisa said she had pictures for their th anniversary but couldn t upload them because she wanted to hide her hair lol ji,0.08,0.777,0.144,0.3919,0.05591956898570061,0.015192615799605846,0.7833880186080933,0.6978778839111328,0.04466491565108299,0.1622406542301178,0.08943520486354828,0.011610652320086956,0.004336061421781778,0.0037739877589046955,0.00893277395516634,0.11123133450746536,0.009662957862019539,0.10549196600914001,0.5240648984909058,0.004644325468689203,0.008591214194893837,0.02272554486989975,0.011105630546808243,0.01070883776747224,0.006003671388733048,0.0009981279895827384,0.007970835082232952,0.001849608263000846,0.9722720980644226,0.0009946475038304925,0.005666009150445461,0.00931282714009285,0.0019341303268447518,8.25826086956522,9.93391304347826,7.710425000000001,76.82043478260871,12.678260869565218,36.04347826086956,10.745966692414834,3.0,11.642517391304349,4.217391304347826,1.2608695652173914,23.0,1.0,0.9565217391304348,97.0,29.0,23.0,22.0,1.0,1.0,3.0,2.0,10.0,positive,2.0
1556634650331688962,RT @blackpinkbabo: Jisoo and Lisa said Jennie and Rosé couldn’t make it because of schedules and said they wanted to go live together 🥹 the…,2022-08-08 13:33:16+00:00,1444959397562630151,7,18,17209,2138,Jisoo and Lisa said Jennie and Ros couldn t make it because of schedules and said they wanted to go live together the,jisoo and lisa said jennie and ros couldn t make it because of schedules and said they wanted to go live together the,0.0,0.854,0.146,0.36755,0.05498109012842178,0.010143719613552094,0.9628451764583588,0.14468912594020367,0.010216554626822472,0.036714314483106136,0.4834556318819523,0.008212478598579764,0.003907102276571095,0.00417566963005811,0.004975680494681001,0.6829064190387726,0.10079743899405003,0.03723453963175416,0.06202339194715023,0.005409247940406203,0.009783571818843484,0.010903281392529607,0.004750508116558194,0.011558494760995481,0.005883664654227752,0.0007827338000014634,0.48429366294294596,0.0021738134673796594,0.5056104529649019,0.0013838179875165224,0.0030780324013903737,0.001961540197953582,0.0014986554742790759,10.261763285024156,10.322173913043477,9.57692341545894,58.00358695652176,12.161352657004832,40.91062801932367,10.745966692414834,4.0,13.101331400966183,4.565217391304348,1.5132850241545894,20.5,1.0,0.9070048309178744,92.5,30.5,20.5,18.5,1.0,1.0,4.0,2.0,10.5,positive,2.0
1556634650344554496,"RT @KhmerLy2: ลูกสาวผมยาวสวยมากๆนุ่มนิ่มน่ารักอะไรอย่างนี้

SIX YEARS WITH LISA
#LISA #LALISA #MONEY https://t.co/2rx5M0w6oa",2022-08-08 13:33:16+00:00,149447990,83,94,237,1743,SIX YEARS WITH LISA LISA LALISA MONEY,six years with lisa lisa lalisa money,0.0,1.0,0.0,0.0,0.020640455186367035,0.015709437429904938,0.9270651340484619,0.14703615009784698,0.05359521508216858,0.04094960540533066,0.03352644667029381,0.017185775563120842,0.003047617617994547,0.004093439318239689,0.005436448380351067,0.21187925338745117,0.03629845380783081,0.03669063746929169,0.4322657883167267,0.005045708734542131,0.02476940117776394,0.005319602787494659,0.006275903899222612,0.011544428297659132,0.008228114636274833,0.0009875844867155165,0.021981380879878998,0.00281327567063272,0.9663938879966736,0.0016424707137048244,0.002343858825042844,0.003252288792282343,0.0015728758880868554,7.368571428571428,2.9285714285714306,6.011781857142861,54.7014285714286,8.514285714285714,7.0,8.477225575051662,0.0,13.006557142857144,4.428571428571429,1.7142857142857142,7.0,1.0,0.8571428571428571,31.0,12.0,7.0,6.0,1.0,1.0,0.0,1.0,4.0,neutral,2.0
1556634650721734657,RT @jenniesrenes: “li to the soo to the lisoo” https://t.co/CU6yT6bFTL,2022-08-08 13:33:16+00:00,1104248722286817280,52,390,11295,4889,li to the soo to the lisoo,li to the soo to the lisoo,0.0,1.0,0.0,0.0,0.020357048138976097,0.01146950013935566,0.2570827007293701,0.7949820756912231,0.10341989994049072,0.008906449191272259,0.023816142231225967,0.004848808981478214,0.0035365985240787268,0.005979408510029316,0.004389639012515545,0.07739412784576416,0.017118806019425392,0.08005788922309875,0.7119259834289551,0.0057396977208554745,0.010064058005809784,0.008543531410396099,0.0066555640660226345,0.021636784539898608,0.009372307283463735,0.0006106521637365431,0.014462255872786045,0.001939060864970088,0.9649677276611328,0.004780322313308716,0.006114431656897068,0.00600312789902091,0.0017330170376226306,-2.7457142857142856,-4.472857142857144,-3.2279839999999957,127.2157142857143,2.8000000000000003,7.0,3.0,0.0,10.750842857142857,2.857142857142857,0.8571428571428571,7.0,1.0,0.7142857142857143,20.0,6.0,7.0,5.0,1.0,1.0,0.0,0.0,3.0,neutral,3.0
1556634651250524160,"RT @ant210805: Góc nghiêng kìa trùi 😍

#WhatsYourK 
#WhatsYourK_MySong #LISA
#MONEY #LALISA https://t.co/BctSmNTnGZ",2022-08-08 13:33:16+00:00,1259998498050543616,174,323,124452,6,G c nghi ng k a tr i WhatsYourK WhatsYourK MySong LISA MONEY LALISA,g c nghi ng k a tr i whatsyourk whatsyourk mysong lisa money lalisa,0.0,1.0,0.0,0.0,0.027528993785381317,0.00632446794770658,0.6470876187086105,0.21778835356235504,0.008989196037873626,0.016818944364786148,0.05431685782968998,0.0029345782240852714,0.001772436371538788,0.002720968914218247,0.004263528157025576,0.47639280557632446,0.0192788178101182,0.0983390212059021,0.088206822052598,0.0031505206134170294,0.0036460724659264088,0.003024962148629129,0.0032645787578076124,0.014684172577565286,0.008103980745780129,0.0007781500631198496,0.01539028761908412,0.0024966782075352967,0.9637935757637024,0.004635411663912237,0.005514322547242045,0.006007764488458633,0.002161889337003231,8.23452380952381,2.1085714285714285,2.290683904761905,51.16464285714287,11.495238095238093,15.642857142857142,8.477225575051662,1.0,18.156314285714284,4.095238095238095,1.7380952380952381,8.5,1.0,0.9642857142857143,33.5,11.5,8.5,8.0,1.0,1.0,1.0,1.0,7.0,neutral,11.0
1556634652424675334,RT @xx_turtle_: They tried to go live as 4 but their schedules didn't match so Lisa and Jisoo just went live,2022-08-08 13:33:16+00:00,1389423990175842304,237,220,32393,1698,They tried to go live as 4 but their schedules didn t match so Lisa and Jisoo just went live,they tried to go live as but their schedules didn t match so lisa and jisoo just went live,0.0,1.0,0.0,0.0,0.02557598426938057,0.00376103725284338,0.7571033239364624,0.026246609166264534,0.0028586441185325384,0.006883014924824238,0.22794315218925476,0.002593542682006955,0.0018382775597274303,0.002469300525262952,0.002683077473193407,0.9766527414321899,0.03941497951745987,0.013271564617753029,0.0072224754840135574,0.004404905252158642,0.006067581940442324,0.005062468815594912,0.0017909732414409518,0.013822730162521574,0.005681352985682744,0.0005329400469735474,0.015575817786157131,0.003228690940886736,0.9705376029014587,0.0011963213328272104,0.004831086378544569,0.002363919746130705,0.002266528317704797,5.483157894736845,5.9184210526315795,4.923511368421053,89.5921052631579,9.705263157894738,24.263157894736842,8.477225575051662,1.0,8.734163157894738,3.789473684210526,1.1578947368421053,19.0,1.0,0.9473684210526315,72.0,22.0,19.0,18.0,1.0,1.0,1.0,1.0,5.0,neutral,11.0
1556634652550504448,RT @blckpinkpic: LISA AND JISOO https://t.co/taWQmpLHrP,2022-08-08 13:33:16+00:00,1524043644780560386,119,346,10085,1582,LISA AND JISOO,lisa and jisoo,0.0,1.0,0.0,0.0,0.028274042531847954,0.008517574518918991,0.7197017669677734,0.24772360920906067,0.03793497011065483,0.03245171904563904,0.011731501668691635,0.01797860488295555,0.003216548589989543,0.0023874694015830755,0.0041137137450277805,0.3749786913394928,0.03826027736067772,0.04610539600253105,0.21312321722507477,0.003577260533347726,0.0029650439973920584,0.0038464446552097797,0.004506157245486975,0.02183448942132828,0.011250022163274545,0.00016301007185129217,0.02537061646580696,0.003328189719468355,0.9561991691589355,0.003175644436851144,0.005596700124442577,0.0034895562566816807,0.002840111730620265,5.246666666666666,-1.0899999999999999,-2.1438266666666674,62.790000000000006,1.2000000000000002,3.0,3.0,0.0,14.311966666666665,4.0,1.6666666666666667,3.0,1.0,1.0,12.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,neutral,2.0
